,Classifier,By,Preprocessed,Vectorizer,Ngram,TopKFeatures,TrainAccuracy,TestAccuracy
0,ComplementNB,description,1,CountVectorizer,"(1, 1)",5000,0.4114524340000747,0.3924970750043564
1,ComplementNB,description,1,CountVectorizer,"(1, 1)",6000,0.4178439402048767,0.39645515421572775
2,ComplementNB,description,1,CountVectorizer,"(1, 1)",7000,0.4230654335893255,0.39894451221030097
3,ComplementNB,description,1,CountVectorizer,"(1, 1)",8000,0.4278450604299175,0.3998157875084016
4,ComplementNB,description,1,CountVectorizer,"(1, 1)",9000,0.43263713421540684,0.4018072739040601
5,ComplementNB,description,1,CountVectorizer,"(1, 1)",10000,0.43744165494579357,0.40454556769809064
6,ComplementNB,description,1,CountVectorizer,"(1, 1)",11000,0.4415864875966194,0.4056657787956486
7,ComplementNB,description,1,CountVectorizer,"(1, 1)",12000,0.44662127680760755,0.4075576908715242
8,ComplementNB,description,1,CountVectorizer,"(1, 1)",13000,0.45069765126149786,0.4099225809663688
9,ComplementNB,description,1,CountVectorizer,"(1, 1)",14000,0.453740929288906,0.41007194244604317
10,ComplementNB,description,1,CountVectorizer,"(1, 2)",5000,0.40695908689212235,0.3874436782753728
11,ComplementNB,description,1,CountVectorizer,"(1, 2)",6000,0.41407873937342077,0.3920240969853875
12,ComplementNB,description,1,CountVectorizer,"(1, 2)",7000,0.41708467656613685,0.3938911154813174
13,ComplementNB,description,1,CountVectorizer,"(1, 2)",8000,0.41768212992121084,0.39386622190137166
14,ComplementNB,description,1,CountVectorizer,"(1, 2)",9000,0.4180057504885426,0.39386622190137166
15,ComplementNB,description,1,CountVectorizer,"(1, 2)",10000,0.41813644340996503,0.39364217968186005
16,ComplementNB,description,1,CountVectorizer,"(1, 2)",11000,0.4181302199375163,0.3936670732618058
17,ComplementNB,description,1,CountVectorizer,"(1, 2)",12000,0.4181551138273111,0.3935923925219686
18,ComplementNB,description,1,CountVectorizer,"(1, 2)",13000,0.41818000771710584,0.39356749894202286
19,ComplementNB,description,1,CountVectorizer,"(1, 2)",14000,0.42042045779863335,0.3944636678200692
20,ComplementNB,description,1,TfidfVectorizer,"(1, 1)",5000,0.41239840181227516,0.39247218142441065
21,ComplementNB,description,1,TfidfVectorizer,"(1, 1)",6000,0.42020885973537797,0.3984964277712778
22,ComplementNB,description,1,TfidfVectorizer,"(1, 1)",7000,0.42447816183517756,0.39869557641084363
23,ComplementNB,description,1,TfidfVectorizer,"(1, 1)",8000,0.43011662787368843,0.40220557118319183
24,ComplementNB,description,1,TfidfVectorizer,"(1, 1)",9000,0.4338382643980035,0.4035498245002614
25,ComplementNB,description,1,TfidfVectorizer,"(1, 1)",10000,0.44017375935076736,0.40613875681461753
26,ComplementNB,description,1,TfidfVectorizer,"(1, 1)",11000,0.4448351402148343,0.40790620099076447
27,ComplementNB,description,1,TfidfVectorizer,"(1, 1)",12000,0.4498512590084764,0.40935002862761694
28,ComplementNB,description,1,TfidfVectorizer,"(1, 1)",13000,0.45410189069092993,0.4106942819446865
29,ComplementNB,description,1,TfidfVectorizer,"(1, 1)",14000,0.45736299025404215,0.41081874984441513
30,ComplementNB,description,1,TfidfVectorizer,"(1, 2)",5000,0.40610024769420344,0.3863732543377063
31,ComplementNB,description,1,TfidfVectorizer,"(1, 2)",6000,0.4130892072540795,0.39053048218864356
32,ComplementNB,description,1,TfidfVectorizer,"(1, 2)",7000,0.41386714131016544,0.3904806950287521
33,ComplementNB,description,1,TfidfVectorizer,"(1, 2)",8000,0.4141845384050485,0.39082920514799235
34,ComplementNB,description,1,TfidfVectorizer,"(1, 2)",9000,0.4142281027121893,0.39120260884717833
35,ComplementNB,description,1,TfidfVectorizer,"(1, 2)",10000,0.4150682714927621,0.39122750242712406
36,ComplementNB,description,1,TfidfVectorizer,"(1, 2)",11000,0.41532965733560695,0.3914266510666899
37,ComplementNB,description,1,TfidfVectorizer,"(1, 2)",12000,0.4154105624774399,0.3915511189664186
38,ComplementNB,description,1,TfidfVectorizer,"(1, 2)",13000,0.4158088647141559,0.39184984192576733
39,ComplementNB,description,1,TfidfVectorizer,"(1, 2)",14000,0.4178439402048767,0.3929202658634338
40,ComplementNB,description,0,CountVectorizer,"(1, 1)",5000,0.41409740979076687,0.39645515421572775
41,ComplementNB,description,0,CountVectorizer,"(1, 1)",6000,0.4198727922231488,0.3995170645490528
42,ComplementNB,description,0,CountVectorizer,"(1, 1)",7000,0.4245403965596644,0.4004630205869906
43,ComplementNB,description,0,CountVectorizer,"(1, 1)",8000,0.42956273882575524,0.4027781235219437
44,ComplementNB,description,0,CountVectorizer,"(1, 1)",9000,0.4334710795235309,0.4040228025192303
45,ComplementNB,description,0,CountVectorizer,"(1, 1)",10000,0.4378586275998556,0.4056159916357571
46,ComplementNB,description,0,CountVectorizer,"(1, 1)",11000,0.4419287785812972,0.40743322297179557
47,ComplementNB,description,0,CountVectorizer,"(1, 1)",12000,0.44583711927907294,0.4094744965273456
48,ComplementNB,description,0,CountVectorizer,"(1, 1)",13000,0.44901731370035225,0.4099225809663688
49,ComplementNB,description,0,CountVectorizer,"(1, 1)",14000,0.45239665923998956,0.41111747280376393
50,ComplementNB,description,0,CountVectorizer,"(1, 2)",5000,0.4007605083332296,0.38525304324014836
51,ComplementNB,description,0,CountVectorizer,"(1, 2)",6000,0.40794239553901496,0.3890866545517911
52,ComplementNB,description,0,CountVectorizer,"(1, 2)",7000,0.41379868311322987,0.3923228199447363
53,ComplementNB,description,0,CountVectorizer,"(1, 2)",8000,0.4192379980333827,0.3954594110178985
54,ComplementNB,description,0,CountVectorizer,"(1, 2)",9000,0.42258622621077657,0.39735132309377413
55,ComplementNB,description,0,CountVectorizer,"(1, 2)",10000,0.42347618277093885,0.3973264295138284
56,ComplementNB,description,0,CountVectorizer,"(1, 2)",11000,0.4239180493147957,0.3971023872943168
57,ComplementNB,description,0,CountVectorizer,"(1, 2)",12000,0.4241420943229484,0.39707749371437107
58,ComplementNB,description,0,CountVectorizer,"(1, 2)",13000,0.4242852341892682,0.3970028129745339
59,ComplementNB,description,0,CountVectorizer,"(1, 2)",14000,0.42467731295353556,0.39705260013442534
60,ComplementNB,description,0,TfidfVectorizer,"(1, 1)",5000,0.4191570928915498,0.3995419581289985
