,Classifier,By,Preprocessed,Vectorizer,Ngram,TopKFeatures,TrainAccuracy,TestAccuracy
0,MultinomialNB,description,1,CountVectorizer,"(1, 1)",5000,0.453025229957307,0.414453212516492
1,MultinomialNB,description,1,CountVectorizer,"(1, 1)",6000,0.4597341332569921,0.41831171740808043
2,MultinomialNB,description,1,CountVectorizer,"(1, 1)",7000,0.4630512440721425,0.4201289487441189
3,MultinomialNB,description,1,CountVectorizer,"(1, 1)",8000,0.46482493372001843,0.4208259689825994
4,MultinomialNB,description,1,CountVectorizer,"(1, 1)",9000,0.467880658692324,0.42197107366010306
5,MultinomialNB,description,1,CountVectorizer,"(1, 1)",10000,0.472081502595188,0.4242363894351647
6,MultinomialNB,description,1,CountVectorizer,"(1, 1)",11000,0.47398588516448636,0.4246346867142964
7,MultinomialNB,description,1,CountVectorizer,"(1, 1)",12000,0.4790766856275127,0.4255806427522342
8,MultinomialNB,description,1,CountVectorizer,"(1, 1)",13000,0.4820701758753314,0.42617808867093177
9,MultinomialNB,description,1,CountVectorizer,"(1, 1)",14000,0.48238757297021445,0.42617808867093177
10,MultinomialNB,description,1,CountVectorizer,"(1, 2)",5000,0.43917178028652865,0.4083044982698962
11,MultinomialNB,description,1,CountVectorizer,"(1, 2)",6000,0.4464470195790443,0.41191406736202735
12,MultinomialNB,description,1,CountVectorizer,"(1, 2)",7000,0.4479966642187675,0.41315874635931393
13,MultinomialNB,description,1,CountVectorizer,"(1, 2)",8000,0.44713782502084864,0.4132832142590426
14,MultinomialNB,description,1,CountVectorizer,"(1, 2)",9000,0.4463910083270061,0.41318363993925966
15,MultinomialNB,description,1,CountVectorizer,"(1, 2)",10000,0.4454325935699083,0.41271066192029077
16,MultinomialNB,description,1,CountVectorizer,"(1, 2)",11000,0.4441381113005813,0.4119389609419731
17,MultinomialNB,description,1,CountVectorizer,"(1, 2)",12000,0.44271293610983187,0.41131662144332976
18,MultinomialNB,description,1,CountVectorizer,"(1, 2)",13000,0.4413313252262232,0.4104204525652834
19,MultinomialNB,description,1,CountVectorizer,"(1, 2)",14000,0.4415864875966194,0.41074406910457795
20,MultinomialNB,description,1,TfidfVectorizer,"(1, 1)",5000,0.35364882189666547,0.34455204002887657
21,MultinomialNB,description,1,TfidfVectorizer,"(1, 1)",6000,0.3588454213913195,0.349157352318837
22,MultinomialNB,description,1,TfidfVectorizer,"(1, 1)",7000,0.3564307140812288,0.34719075950312417
