,Classifier,By,Preprocessed,Vectorizer,Ngram,TopKFeatures,TrainAccuracy,TestAccuracy
0,ComplementNB,full_text,0,TfidfVectorizer,"(1, 1)",7500,0.9038416898792944,0.8900301764159703
0,ComplementNB,full_text,0,TfidfVectorizer,"(1, 1)",6000,0.8996634168987929,0.8857938718662952
0,ComplementNB,full_text,1,TfidfVectorizer,"(1, 1)",7500,0.9003017641597029,0.8847493036211699
0,ComplementNB,full_text,0,CountVectorizer,"(1, 1)",7500,0.898879990714949,0.8844011142061281
0,ComplementNB,full_text,1,CountVectorizer,"(1, 1)",7500,0.8976758356545961,0.882370009285051
0,ComplementNB,full_text,1,TfidfVectorizer,"(1, 2)",7500,0.8937732126276694,0.880338904363974
0,ComplementNB,full_text,1,TfidfVectorizer,"(1, 1)",6000,0.8949338440111421,0.8801067780872794
0,ComplementNB,full_text,0,CountVectorizer,"(1, 1)",6000,0.8939037836583101,0.8795264623955432
0,ComplementNB,full_text,0,TfidfVectorizer,"(1, 1)",4500,0.8921048050139275,0.8789461467038069
0,ComplementNB,full_text,1,CountVectorizer,"(1, 1)",6000,0.8922063602599815,0.8783658310120706
0,ComplementNB,full_text,1,CountVectorizer,"(1, 2)",7500,0.8910022051996286,0.878133704735376
0,ComplementNB,full_text,1,TfidfVectorizer,"(1, 2)",6000,0.8864902506963789,0.8756383472609099
0,ComplementNB,full_text,0,TfidfVectorizer,"(1, 2)",7500,0.8886519266480966,0.8750580315691736
0,ComplementNB,full_text,1,TfidfVectorizer,"(1, 1)",4500,0.8866063138347261,0.8743036211699164
0,ComplementNB,full_text,0,CountVectorizer,"(1, 1)",4500,0.8864032033426184,0.8734911792014856
0,ComplementNB,full_text,1,CountVectorizer,"(1, 1)",4500,0.8824280408542247,0.8720984215413184
0,ComplementNB,full_text,1,CountVectorizer,"(1, 2)",6000,0.8834435933147632,0.8719243268337976
0,ComplementNB,full_text,0,CountVectorizer,"(1, 2)",7500,0.8822104224698236,0.8692548746518106
0,ComplementNB,full_text,0,TfidfVectorizer,"(1, 2)",6000,0.881905756731662,0.8689066852367688
0,ComplementNB,full_text,1,TfidfVectorizer,"(1, 2)",4500,0.8775098653667596,0.8671657381615598
0,ComplementNB,full_text,0,TfidfVectorizer,"(1, 1)",3000,0.8792217966573816,0.8668755803156918
0,ComplementNB,headline,0,CountVectorizer,"(1, 1)",7500,0.8878685004642526,0.8661211699164345
0,ComplementNB,headline,0,TfidfVectorizer,"(1, 1)",7500,0.8887970055710307,0.8651926648096564
