,Classifier,By,Preprocessed,Vectorizer,Ngram,TopKFeatures,TrainAccuracy,TestAccuracy
0,MultinomialNB,full_text,0,CountVectorizer,"(1, 1)",7500,0.9042769266480966,0.8862000928505107
0,MultinomialNB,full_text,1,CountVectorizer,"(1, 1)",7500,0.9056696843082637,0.8855037140204272
0,MultinomialNB,full_text,0,CountVectorizer,"(1, 1)",6000,0.9004758588672238,0.8832985143918292
0,MultinomialNB,full_text,1,CountVectorizer,"(1, 1)",6000,0.9000986536675951,0.8821378830083565
0,MultinomialNB,full_text,0,CountVectorizer,"(1, 1)",4500,0.893294452181987,0.8798166202414113
0,MultinomialNB,full_text,1,CountVectorizer,"(1, 2)",7500,0.8980095171773445,0.8797585886722377
0,MultinomialNB,full_text,1,CountVectorizer,"(1, 1)",4500,0.8921338207985144,0.8779015784586816
0,MultinomialNB,full_text,0,TfidfVectorizer,"(1, 1)",7500,0.8909586815227484,0.8777855153203342
0,MultinomialNB,full_text,1,CountVectorizer,"(1, 2)",6000,0.8918291550603529,0.8771471680594243
0,MultinomialNB,full_text,0,TfidfVectorizer,"(1, 1)",6000,0.8863306638811513,0.8767989786443825
0,MultinomialNB,full_text,0,CountVectorizer,"(1, 2)",7500,0.8884923398328691,0.8737813370473537
0,MultinomialNB,full_text,1,TfidfVectorizer,"(1, 1)",7500,0.8834581012070566,0.8722725162488394
0,MultinomialNB,full_text,0,CountVectorizer,"(1, 1)",3000,0.8836467038068709,0.8709377901578459
0,MultinomialNB,full_text,0,TfidfVectorizer,"(1, 1)",4500,0.87955547818013,0.8709377901578459
0,MultinomialNB,full_text,1,CountVectorizer,"(1, 2)",4500,0.8829068012999072,0.8698351903435468
0,MultinomialNB,full_text,0,CountVectorizer,"(1, 2)",6000,0.8820073119777159,0.8697771587743732
0,MultinomialNB,full_text,1,CountVectorizer,"(1, 1)",3000,0.8800342386258124,0.8694870009285051
0,MultinomialNB,headline,0,CountVectorizer,"(1, 1)",7500,0.8917566155988857,0.8692548746518106
0,MultinomialNB,full_text,1,TfidfVectorizer,"(1, 1)",6000,0.8771906917363046,0.8679781801299907
0,MultinomialNB,headline,0,CountVectorizer,"(1, 1)",6000,0.8860985376044568,0.8661211699164345
0,MultinomialNB,full_text,0,CountVectorizer,"(1, 2)",4500,0.8740714948932219,0.8625232126276694
0,MultinomialNB,full_text,1,TfidfVectorizer,"(1, 1)",4500,0.8675139275766016,0.8619428969359332
0,MultinomialNB,headline,1,CountVectorizer,"(1, 1)",7500,0.8881296425255338,0.8617107706592386
0,MultinomialNB,headline,0,CountVectorizer,"(1, 1)",4500,0.8773357706592386,0.8591573816155988
0,MultinomialNB,full_text,1,CountVectorizer,"(1, 2)",3000,0.8704590297121634,0.8588672237697307
0,MultinomialNB,full_text,0,TfidfVectorizer,"(1, 1)",3000,0.8642786675951718,0.8575905292479109
0,MultinomialNB,headline,1,CountVectorizer,"(1, 1)",6000,0.8816301067780873,0.8566620241411328
0,MultinomialNB,headline,0,CountVectorizer,"(1, 2)",7500,0.875464252553389,0.854282729805014
0,MultinomialNB,headline,1,CountVectorizer,"(1, 2)",7500,0.8754352367688022,0.8538184772516249
0,MultinomialNB,full_text,0,CountVectorizer,"(1, 2)",3000,0.859302460538533,0.8513231197771588
0,MultinomialNB,headline,1,CountVectorizer,"(1, 1)",4500,0.8706041086350975,0.8510909935004642
0,MultinomialNB,headline,0,CountVectorizer,"(1, 2)",6000,0.8686600510677809,0.8503946146703807
0,MultinomialNB,headline,0,CountVectorizer,"(1, 1)",3000,0.8631615598885793,0.8478992571959145
0,MultinomialNB,headline,1,CountVectorizer,"(1, 2)",6000,0.866208217270195,0.8472609099350047
0,MultinomialNB,full_text,1,TfidfVectorizer,"(1, 1)",3000,0.8490453806870938,0.8471448467966574
0,MultinomialNB,headline,0,TfidfVectorizer,"(1, 1)",6000,0.866745009285051,0.8467966573816156
0,MultinomialNB,headline,0,TfidfVectorizer,"(1, 1)",7500,0.8709522980501393,0.846738625812442
0,MultinomialNB,full_text,1,TfidfVectorizer,"(1, 2)",7500,0.8081766480965645,0.8444173630454967
0,MultinomialNB,headline,1,TfidfVectorizer,"(1, 1)",7500,0.8679491643454039,0.8423862581244197
