,Classifier,By,Preprocessed,Vectorizer,Ngram,TopKFeatures,TrainAccuracy,TestAccuracy
0,PassiveAggressiveClassifier,full_text,0,TfidfVectorizer,"(1, 2)",7500,0.9493819637883009,0.8969359331476323
0,PassiveAggressiveClassifier,full_text,0,TfidfVectorizer,"(1, 2)",6000,0.9391829155060353,0.8957753017641596
0,PassiveAggressiveClassifier,full_text,0,TfidfVectorizer,"(1, 1)",4500,0.945189182915506,0.8954851439182916
0,PassiveAggressiveClassifier,full_text,0,TfidfVectorizer,"(1, 1)",7500,0.9649489322191273,0.8954851439182916
0,PassiveAggressiveClassifier,full_text,0,TfidfVectorizer,"(1, 1)",6000,0.958217270194986,0.894788765088208
0,PassiveAggressiveClassifier,full_text,1,TfidfVectorizer,"(1, 2)",7500,0.9397197075208914,0.8907845868152274
0,PassiveAggressiveClassifier,full_text,0,TfidfVectorizer,"(1, 2)",4500,0.9281279015784587,0.890378365831012
0,PassiveAggressiveClassifier,full_text,0,TfidfVectorizer,"(1, 1)",3000,0.9255600046425255,0.8887534818941504
0,PassiveAggressiveClassifier,full_text,1,TfidfVectorizer,"(1, 2)",6000,0.9311020194986073,0.8865482822655525
0,PassiveAggressiveClassifier,full_text,1,TfidfVectorizer,"(1, 1)",7500,0.9589136490250696,0.8844011142061281
0,PassiveAggressiveClassifier,full_text,0,CountVectorizer,"(1, 1)",7500,0.9522400185701021,0.8835306406685237
0,PassiveAggressiveClassifier,full_text,1,TfidfVectorizer,"(1, 2)",4500,0.9178418059424327,0.8834145775301764
0,PassiveAggressiveClassifier,full_text,0,TfidfVectorizer,"(1, 2)",3000,0.910486304549675,0.8833565459610028
0,PassiveAggressiveClassifier,full_text,1,TfidfVectorizer,"(1, 1)",4500,0.9326688718662952,0.883008356545961
0,PassiveAggressiveClassifier,full_text,1,TfidfVectorizer,"(1, 1)",6000,0.9473798746518106,0.8824860724233984
0,PassiveAggressiveClassifier,headline,0,TfidfVectorizer,"(1, 1)",6000,0.9359766713091922,0.8785399257195915
0,PassiveAggressiveClassifier,full_text,0,CountVectorizer,"(1, 1)",6000,0.9358315923862581,0.877669452181987
0,PassiveAggressiveClassifier,headline,0,TfidfVectorizer,"(1, 1)",7500,0.9449570566388115,0.8773792943361188
0,PassiveAggressiveClassifier,headline,0,TfidfVectorizer,"(1, 2)",7500,0.92643047818013,0.8771471680594243
0,PassiveAggressiveClassifier,full_text,1,TfidfVectorizer,"(1, 1)",3000,0.9112407149489322,0.8766829155060353
