,Classifier,By,Preprocessed,Vectorizer,Ngram,TopKFeatures,TrainAccuracy,TestAccuracy
0,RandomForestClassifier,headline,1,TfidfVectorizer,"(1, 1)",7500,0.9949222376973074,0.820044103992572
0,RandomForestClassifier,headline,1,TfidfVectorizer,"(1, 1)",6000,0.9937470984215413,0.8191736304549675
0,RandomForestClassifier,full_text,1,TfidfVectorizer,"(1, 1)",7500,0.9996227948003714,0.8170844939647168
0,RandomForestClassifier,full_text,1,TfidfVectorizer,"(1, 1)",6000,0.9994777158774373,0.8155176415970288
0,RandomForestClassifier,full_text,1,CountVectorizer,"(1, 1)",7500,0.999535747446611,0.8149953574744662
0,RandomForestClassifier,headline,1,CountVectorizer,"(1, 1)",6000,0.9868848653667596,0.8145891364902507
0,RandomForestClassifier,headline,1,TfidfVectorizer,"(1, 1)",4500,0.9910051067780873,0.8131383472609099
0,RandomForestClassifier,full_text,1,CountVectorizer,"(1, 2)",7500,0.9989699396471681,0.812964252553389
0,RandomForestClassifier,full_text,1,CountVectorizer,"(1, 2)",6000,0.9986797818012999,0.8126740947075209
0,RandomForestClassifier,headline,1,CountVectorizer,"(1, 1)",7500,0.989858983286908,0.8117455896007428
0,RandomForestClassifier,headline,1,CountVectorizer,"(1, 2)",7500,0.9804868848653667,0.8115134633240483
0,RandomForestClassifier,full_text,1,TfidfVectorizer,"(1, 1)",4500,0.9991585422469823,0.8113393686165274
0,RandomForestClassifier,full_text,1,TfidfVectorizer,"(1, 1)",3000,0.998433147632312,0.8109911792014856
0,RandomForestClassifier,headline,1,CountVectorizer,"(1, 2)",6000,0.9728412256267409,0.8106429897864438
0,RandomForestClassifier,headline,1,CountVectorizer,"(1, 2)",4500,0.9632079851439183,0.8101207056638812
0,RandomForestClassifier,full_text,1,CountVectorizer,"(1, 1)",4500,0.9988538765088208,0.8096564531104921
0,RandomForestClassifier,full_text,1,CountVectorizer,"(1, 1)",6000,0.9992746053853296,0.8087859795728877
0,RandomForestClassifier,headline,1,CountVectorizer,"(1, 1)",4500,0.9794713324048282,0.8081476323119777
0,RandomForestClassifier,full_text,1,CountVectorizer,"(1, 1)",3000,0.9974175951717734,0.8075092850510678
0,RandomForestClassifier,headline,1,CountVectorizer,"(1, 1)",3000,0.9631789693593314,0.8068709377901578
0,RandomForestClassifier,full_text,1,CountVectorizer,"(1, 2)",4500,0.9980269266480966,0.8064647168059424
0,RandomForestClassifier,headline,1,CountVectorizer,"(1, 2)",3000,0.9439705199628597,0.8053621169916435
0,RandomForestClassifier,headline,1,TfidfVectorizer,"(1, 1)",3000,0.984766713091922,0.8037372330547818
0,RandomForestClassifier,full_text,1,TfidfVectorizer,"(1, 2)",7500,0.999289113277623,0.8033310120705663
0,RandomForestClassifier,full_text,1,CountVectorizer,"(1, 2)",3000,0.995299442896936,0.8001392757660167
0,RandomForestClassifier,full_text,0,CountVectorizer,"(1, 2)",7500,0.999753365831012,0.7985143918291551
0,RandomForestClassifier,full_text,1,TfidfVectorizer,"(1, 2)",6000,0.9990860027855153,0.7984563602599815
0,RandomForestClassifier,full_text,0,CountVectorizer,"(1, 1)",7500,0.9998984447539462,0.7979921077065923
0,RandomForestClassifier,headline,1,TfidfVectorizer,"(1, 2)",7500,0.9911356778087279,0.7970055710306406
0,RandomForestClassifier,full_text,1,TfidfVectorizer,"(1, 2)",4500,0.9987378133704735,0.796947539461467
0,RandomForestClassifier,full_text,0,CountVectorizer,"(1, 1)",6000,0.9998404131847726,0.7963091922005571
0,RandomForestClassifier,full_text,0,CountVectorizer,"(1, 2)",6000,0.9996373026926648,0.7947423398328691
0,RandomForestClassifier,headline,0,CountVectorizer,"(1, 1)",7500,0.9973595636025998,0.7947423398328691
0,RandomForestClassifier,full_text,0,CountVectorizer,"(1, 2)",4500,0.9994922237697307,0.7945102135561746
0,RandomForestClassifier,headline,0,CountVectorizer,"(1, 2)",7500,0.9931087511606314,0.7943941504178273
0,RandomForestClassifier,headline,0,CountVectorizer,"(1, 1)",6000,0.9965035979572887,0.7936977715877437
0,RandomForestClassifier,full_text,0,TfidfVectorizer,"(1, 1)",7500,0.9998839368616528,0.7933495821727019
0,RandomForestClassifier,headline,1,TfidfVectorizer,"(1, 2)",6000,0.9884662256267409,0.7928853296193129
0,RandomForestClassifier,headline,0,CountVectorizer,"(1, 2)",6000,0.9917159935004642,0.7927692664809657
0,RandomForestClassifier,full_text,0,TfidfVectorizer,"(1, 1)",6000,0.9998839368616528,0.7921309192200557
0,RandomForestClassifier,full_text,0,CountVectorizer,"(1, 1)",4500,0.9997678737233054,0.7917246982358404
0,RandomForestClassifier,headline,0,CountVectorizer,"(1, 1)",4500,0.9943564298978644,0.7913765088207985
0,RandomForestClassifier,full_text,0,CountVectorizer,"(1, 1)",3000,0.9996227948003714,0.7906220984215413
0,RandomForestClassifier,full_text,0,CountVectorizer,"(1, 2)",3000,0.9990860027855153,0.7896355617455896
0,RandomForestClassifier,full_text,0,TfidfVectorizer,"(1, 1)",4500,0.9998694289693594,0.7890552460538532
0,RandomForestClassifier,full_text,0,TfidfVectorizer,"(1, 1)",3000,0.9997678737233054,0.7883008356545961
0,RandomForestClassifier,headline,0,CountVectorizer,"(1, 2)",4500,0.9868268337975858,0.7879526462395543
0,RandomForestClassifier,full_text,1,TfidfVectorizer,"(1, 2)",3000,0.9973450557103064,0.7865018570102136
0,RandomForestClassifier,headline,0,TfidfVectorizer,"(1, 1)",7500,0.9989554317548747,0.7851090993500465
0,RandomForestClassifier,headline,1,TfidfVectorizer,"(1, 2)",4500,0.9847086815227484,0.7848189415041783
0,RandomForestClassifier,headline,0,CountVectorizer,"(1, 1)",3000,0.990033077994429,0.7834842154131848
0,RandomForestClassifier,headline,0,TfidfVectorizer,"(1, 1)",6000,0.9986942896935933,0.7824396471680595
0,RandomForestClassifier,full_text,0,TfidfVectorizer,"(1, 2)",7500,0.9998259052924791,0.7806406685236769
0,RandomForestClassifier,headline,0,TfidfVectorizer,"(1, 1)",4500,0.9983461002785515,0.7797701949860725
