,Classifier,By,Preprocessed,Vectorizer,Ngram,TopKFeatures,TrainAccuracy,TestAccuracy
0,SGDClassifier,full_text,0,CountVectorizer,"(1, 1)",7500,0.9386316155988857,0.9015784586815228
0,SGDClassifier,full_text,0,CountVectorizer,"(1, 1)",6000,0.9336989322191273,0.9008240482822656
0,SGDClassifier,full_text,0,CountVectorizer,"(1, 1)",4500,0.9266916202414113,0.8992571959145775
0,SGDClassifier,full_text,0,CountVectorizer,"(1, 2)",7500,0.9339745821727019,0.8977483751160631
0,SGDClassifier,full_text,1,CountVectorizer,"(1, 2)",7500,0.9260242571959145,0.8944405756731661
0,SGDClassifier,full_text,0,CountVectorizer,"(1, 2)",6000,0.9267206360259982,0.8937441968430826
0,SGDClassifier,full_text,1,CountVectorizer,"(1, 1)",7500,0.9318999535747446,0.8934540389972145
0,SGDClassifier,full_text,0,TfidfVectorizer,"(1, 1)",7500,0.9048862581244197,0.8927576601671309
0,SGDClassifier,full_text,0,TfidfVectorizer,"(1, 1)",6000,0.9009546193129062,0.8907265552460538
0,SGDClassifier,full_text,1,CountVectorizer,"(1, 2)",6000,0.9196407845868152,0.8906685236768802
0,SGDClassifier,full_text,0,CountVectorizer,"(1, 1)",3000,0.9137070566388115,0.8903203342618384
0,SGDClassifier,full_text,1,CountVectorizer,"(1, 1)",6000,0.9256325441039925,0.8891597028783659
0,SGDClassifier,full_text,1,CountVectorizer,"(1, 1)",4500,0.9172179665738162,0.8885793871866295
0,SGDClassifier,full_text,0,CountVectorizer,"(1, 2)",4500,0.9162314298978644,0.887708913649025
0,SGDClassifier,full_text,0,TfidfVectorizer,"(1, 1)",4500,0.8959929201485608,0.8859679665738162
0,SGDClassifier,full_text,1,CountVectorizer,"(1, 2)",4500,0.9100800835654597,0.8844011142061281
0,SGDClassifier,full_text,1,TfidfVectorizer,"(1, 1)",7500,0.8946436861652739,0.8822539461467038
0,SGDClassifier,full_text,1,CountVectorizer,"(1, 1)",3000,0.9018976323119777,0.8806290622098422
0,SGDClassifier,full_text,0,TfidfVectorizer,"(1, 1)",3000,0.8874042479108635,0.8800487465181058
0,SGDClassifier,full_text,1,TfidfVectorizer,"(1, 1)",6000,0.8895369080779945,0.8796425255338904
0,SGDClassifier,full_text,0,CountVectorizer,"(1, 2)",3000,0.9034064531104921,0.8788300835654597
0,SGDClassifier,headline,0,CountVectorizer,"(1, 1)",6000,0.9072945682451253,0.8785399257195915
0,SGDClassifier,headline,0,CountVectorizer,"(1, 1)",7500,0.911908077994429,0.8779015784586816
0,SGDClassifier,headline,0,CountVectorizer,"(1, 2)",7500,0.9054955896007428,0.8769730733519034
0,SGDClassifier,full_text,1,TfidfVectorizer,"(1, 1)",4500,0.8839658774373259,0.8752901578458682
0,SGDClassifier,full_text,1,CountVectorizer,"(1, 2)",3000,0.8950353992571959,0.8749419684308264
0,SGDClassifier,headline,1,CountVectorizer,"(1, 1)",7500,0.9051764159702879,0.8743036211699164
0,SGDClassifier,headline,0,CountVectorizer,"(1, 1)",4500,0.8994603064066853,0.8736072423398329
0,SGDClassifier,headline,0,CountVectorizer,"(1, 2)",6000,0.8993732590529248,0.872330547818013
0,SGDClassifier,headline,1,CountVectorizer,"(1, 1)",6000,0.9011867455896008,0.8720403899721448
0,SGDClassifier,headline,1,CountVectorizer,"(1, 2)",7500,0.8997794800371403,0.8717502321262767
0,SGDClassifier,headline,1,CountVectorizer,"(1, 1)",4500,0.8926706128133705,0.8667014856081708
0,SGDClassifier,full_text,1,TfidfVectorizer,"(1, 2)",7500,0.869733635097493,0.8649025069637883
0,SGDClassifier,full_text,1,TfidfVectorizer,"(1, 1)",3000,0.8726352135561746,0.864786443825441
0,SGDClassifier,headline,1,CountVectorizer,"(1, 2)",6000,0.8915680129990715,0.8646703806870938
0,SGDClassifier,headline,0,TfidfVectorizer,"(1, 1)",7500,0.8845897168059424,0.8639159702878366
0,SGDClassifier,headline,0,CountVectorizer,"(1, 2)",4500,0.8886809424326834,0.8638579387186629
0,SGDClassifier,full_text,0,TfidfVectorizer,"(1, 2)",7500,0.8701108402971216,0.8634517177344475
0,SGDClassifier,headline,0,CountVectorizer,"(1, 1)",3000,0.8841689879294337,0.8631035283194057
0,SGDClassifier,headline,0,TfidfVectorizer,"(1, 1)",6000,0.8802518570102136,0.8626392757660167
0,SGDClassifier,full_text,1,TfidfVectorizer,"(1, 2)",6000,0.8642931754874652,0.8614786443825441
0,SGDClassifier,full_text,0,TfidfVectorizer,"(1, 2)",6000,0.8646268570102136,0.8595055710306406
0,SGDClassifier,headline,1,TfidfVectorizer,"(1, 1)",7500,0.8803098885793872,0.8590993500464252
0,SGDClassifier,headline,0,TfidfVectorizer,"(1, 1)",4500,0.8742746053853296,0.8588091922005571
