,Classifier,By,Preprocessed,Vectorizer,Ngram,TopKFeatures,TrainAccuracy,TestAccuracy
0,LinearSVC,full_text,0,TfidfVectorizer,"(1, 1)",7500,0.9466254642525533,0.905930826369545
0,LinearSVC,full_text,0,TfidfVectorizer,"(1, 1)",6000,0.9410979572887651,0.9050603528319405
0,LinearSVC,full_text,0,TfidfVectorizer,"(1, 1)",4500,0.9319724930362117,0.9004178272980501
0,LinearSVC,full_text,0,TfidfVectorizer,"(1, 2)",7500,0.9280988857938719,0.9003597957288765
0,LinearSVC,full_text,0,TfidfVectorizer,"(1, 2)",6000,0.9209174791086351,0.8977483751160631
0,LinearSVC,full_text,0,CountVectorizer,"(1, 1)",4500,0.9486275533890436,0.8960654596100278
0,LinearSVC,full_text,0,CountVectorizer,"(1, 1)",7500,0.9705199628597957,0.8953110492107706
0,LinearSVC,full_text,0,CountVectorizer,"(1, 1)",6000,0.9611913881151346,0.8946146703806871
0,LinearSVC,full_text,1,TfidfVectorizer,"(1, 1)",7500,0.9379787604456824,0.8942664809656453
0,LinearSVC,full_text,1,TfidfVectorizer,"(1, 2)",7500,0.919524721448468,0.8933960074280408
0,LinearSVC,full_text,0,TfidfVectorizer,"(1, 1)",3000,0.9178853296193129,0.89258356545961
0,LinearSVC,full_text,0,CountVectorizer,"(1, 1)",3000,0.9287517409470752,0.8914229340761374
0,LinearSVC,full_text,0,TfidfVectorizer,"(1, 2)",4500,0.9124593779015785,0.8899721448467967
0,LinearSVC,full_text,1,TfidfVectorizer,"(1, 1)",6000,0.9293755803156918,0.8896819870009285
0,LinearSVC,full_text,1,TfidfVectorizer,"(1, 2)",6000,0.913083217270195,0.8896819870009285
0,LinearSVC,full_text,0,CountVectorizer,"(1, 2)",7500,0.96355617455896,0.8893918291550603
0,LinearSVC,full_text,0,CountVectorizer,"(1, 2)",6000,0.9514275766016713,0.8893337975858867
0,LinearSVC,headline,0,TfidfVectorizer,"(1, 1)",7500,0.9314357010213556,0.8884052924791086
0,LinearSVC,full_text,0,CountVectorizer,"(1, 2)",4500,0.9370502553389044,0.8882892293407614
0,LinearSVC,full_text,1,TfidfVectorizer,"(1, 1)",4500,0.9189298978644382,0.8870705663881151
0,LinearSVC,full_text,1,CountVectorizer,"(1, 2)",6000,0.9388782497678737,0.8870125348189415
0,LinearSVC,headline,0,TfidfVectorizer,"(1, 1)",6000,0.924544452181987,0.8865482822655525
0,LinearSVC,full_text,1,CountVectorizer,"(1, 1)",6000,0.9495415506035283,0.885677808727948
0,LinearSVC,full_text,1,CountVectorizer,"(1, 1)",7500,0.9607706592386258,0.885677808727948
0,LinearSVC,full_text,1,CountVectorizer,"(1, 2)",7500,0.9500058031569174,0.8856197771587744
0,LinearSVC,full_text,1,CountVectorizer,"(1, 1)",4500,0.9349901346332404,0.8846912720519963
0,LinearSVC,full_text,1,TfidfVectorizer,"(1, 2)",4500,0.9028116295264624,0.8842850510677809
0,LinearSVC,headline,0,CountVectorizer,"(1, 1)",7500,0.943549791086351,0.8835886722376973
0,LinearSVC,full_text,1,CountVectorizer,"(1, 2)",4500,0.9249941968430826,0.8835886722376973
0,LinearSVC,headline,0,CountVectorizer,"(1, 1)",6000,0.9354253714020427,0.8833565459610028
0,LinearSVC,full_text,0,CountVectorizer,"(1, 2)",3000,0.9159412720519963,0.8827762302692664
0,LinearSVC,headline,0,TfidfVectorizer,"(1, 1)",4500,0.9123578226555246,0.8813834726090993
0,LinearSVC,full_text,1,CountVectorizer,"(1, 1)",3000,0.9143454038997214,0.880803156917363
0,LinearSVC,full_text,0,TfidfVectorizer,"(1, 2)",3000,0.8980675487465181,0.8807451253481894
0,LinearSVC,headline,1,TfidfVectorizer,"(1, 1)",7500,0.9249506731662024,0.8802228412256268
0,LinearSVC,headline,0,CountVectorizer,"(1, 1)",4500,0.9214977948003714,0.8795844939647168
0,LinearSVC,full_text,1,TfidfVectorizer,"(1, 1)",3000,0.9018396007428041,0.879236304549675
0,LinearSVC,headline,0,TfidfVectorizer,"(1, 2)",7500,0.9093982126276694,0.8787720519962859
0,LinearSVC,headline,0,CountVectorizer,"(1, 2)",7500,0.9305507195914577,0.8772632311977716
0,LinearSVC,headline,1,TfidfVectorizer,"(1, 1)",6000,0.9174936165273909,0.8767409470752089
0,LinearSVC,headline,1,TfidfVectorizer,"(1, 2)",7500,0.9056987000928505,0.8765088207985144
0,LinearSVC,headline,1,CountVectorizer,"(1, 1)",7500,0.9368471448467967,0.8760445682451253
0,LinearSVC,headline,1,CountVectorizer,"(1, 2)",7500,0.924936165273909,0.8755222841225627
0,LinearSVC,headline,1,CountVectorizer,"(1, 1)",6000,0.9283890436397401,0.8750580315691736
0,LinearSVC,headline,0,CountVectorizer,"(1, 2)",6000,0.9205983054781801,0.8743616527390901
0,LinearSVC,headline,0,TfidfVectorizer,"(1, 2)",6000,0.9017090297121634,0.8741875580315692
0,LinearSVC,full_text,1,CountVectorizer,"(1, 2)",3000,0.9050748607242339,0.8733170844939647
0,LinearSVC,full_text,1,TfidfVectorizer,"(1, 2)",3000,0.8867513927576601,0.8722725162488394
0,LinearSVC,headline,1,TfidfVectorizer,"(1, 1)",4500,0.9038126740947076,0.8721564531104921
0,LinearSVC,headline,1,CountVectorizer,"(1, 1)",4500,0.9140697539461468,0.8714600742804085
0,LinearSVC,headline,0,CountVectorizer,"(1, 1)",3000,0.9009256035283194,0.8700092850510678
0,LinearSVC,headline,1,CountVectorizer,"(1, 2)",6000,0.9126479805013927,0.8694870009285051
0,LinearSVC,headline,1,TfidfVectorizer,"(1, 2)",6000,0.8959929201485608,0.869196843082637
0,LinearSVC,headline,0,TfidfVectorizer,"(1, 1)",3000,0.8933960074280408,0.8681522748375116
0,LinearSVC,headline,0,CountVectorizer,"(1, 2)",4500,0.9054230501392758,0.867455896007428
0,LinearSVC,headline,0,TfidfVectorizer,"(1, 2)",4500,0.8897835422469823,0.8642061281337048
0,LinearSVC,headline,1,CountVectorizer,"(1, 2)",4500,0.8986043407613742,0.8629294336118849
0,LinearSVC,headline,1,TfidfVectorizer,"(1, 2)",4500,0.8842415273909007,0.8609563602599815
0,LinearSVC,headline,1,CountVectorizer,"(1, 1)",3000,0.8917566155988857,0.858983286908078
0,LinearSVC,headline,1,TfidfVectorizer,"(1, 1)",3000,0.8840674326833797,0.8573003714020427
0,LinearSVC,headline,0,CountVectorizer,"(1, 2)",3000,0.8841109563602599,0.8548050139275766
0,LinearSVC,headline,0,TfidfVectorizer,"(1, 2)",3000,0.8715761374187558,0.8520194986072424
0,LinearSVC,headline,1,CountVectorizer,"(1, 2)",3000,0.8762041550603529,0.8491179201485608
0,LinearSVC,headline,1,TfidfVectorizer,"(1, 2)",3000,0.8645978412256268,0.8457520891364902
0,LinearSVC,full_text,0,TfidfVectorizer,"(2, 2)",7500,0.8358722144846796,0.8051880222841226
0,LinearSVC,full_text,0,CountVectorizer,"(2, 2)",7500,0.8755222841225627,0.8042595171773445
0,LinearSVC,full_text,0,CountVectorizer,"(2, 2)",6000,0.8519904828226555,0.7932915506035283
0,LinearSVC,full_text,0,TfidfVectorizer,"(2, 2)",6000,0.8179694753946146,0.7918987929433612
0,LinearSVC,short_description,0,TfidfVectorizer,"(1, 1)",7500,0.8388173166202414,0.7837163416898792
0,LinearSVC,short_description,0,TfidfVectorizer,"(1, 1)",6000,0.8275011606313835,0.7818012999071495
0,LinearSVC,full_text,0,CountVectorizer,"(2, 2)",4500,0.8264130687093779,0.7818012999071495
0,LinearSVC,full_text,0,TfidfVectorizer,"(2, 2)",4500,0.7976149025069638,0.7783194057567316
0,LinearSVC,short_description,0,TfidfVectorizer,"(1, 1)",4500,0.8144440575673166,0.7772748375116063
0,LinearSVC,short_description,0,TfidfVectorizer,"(1, 2)",7500,0.8135300603528319,0.7754758588672238
0,LinearSVC,short_description,0,CountVectorizer,"(1, 1)",4500,0.830794452181987,0.7736768802228412
0,LinearSVC,short_description,0,CountVectorizer,"(1, 1)",7500,0.864075557103064,0.7722260909935005
0,LinearSVC,short_description,1,TfidfVectorizer,"(1, 1)",7500,0.8319115598885793,0.7714716805942433
0,LinearSVC,short_description,0,TfidfVectorizer,"(1, 2)",6000,0.8037952646239555,0.7712975858867224
0,LinearSVC,short_description,0,CountVectorizer,"(1, 1)",6000,0.8478847493036211,0.7711234911792015
